,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,25914.0,12989.0,9303.0,2451.0,702.0,270,122,40,20,8,9,-
41, KUJAWSKO-POMORSKIE           ,19926.0,9615.0,7118.0,2135.0,641.0,230,93,52,26,9,7,-
71, LUBELSKIE                    ,19810.0,9619.0,7038.0,2141.0,583.0,226,108,35,26,16,17,1
102, LUBUSKIE                     ,9780.0,4751.0,3568.0,969.0,296.0,115,38,23,13,5,2,-
123, ŁÓDZKIE                      ,22501.0,11386.0,8228.0,2030.0,548.0,162,76,39,18,7,7,-
154, MAŁOPOLSKIE                  ,34406.0,15978.0,12554.0,4128.0,1105.0,380,142,50,34,18,17,-
183, MAZOWIECKIE                  ,55611.0,27243.0,20582.0,5574.0,1374.0,476,189,98,39,17,16,3
232, OPOLSKIE                     ,8271.0,4097.0,2991.0,811.0,235.0,77,27,15,5,7,6,-
251, PODKARPACKIE                 ,20445.0,9442.0,7363.0,2532.0,695.0,245,86,42,18,6,16,-
283, PODLASKIE                    ,10650.0,5082.0,3824.0,1178.0,345.0,121,47,24,15,10,3,1
307, POMORSKIE                    ,24052.0,11167.0,8757.0,2775.0,822.0,290,117,65,27,14,16,2
334, ŚLĄSKIE                      ,42993.0,21328.0,15851.0,4090.0,1066.0,373,160,65,31,13,14,2
377, ŚWIĘTOKRZYSKIE               ,10744.0,5372.0,3858.0,1080.0,280.0,81,37,22,5,3,6,-
398, WARMIŃSKO-MAZURSKIE          ,13670.0,6597.0,4798.0,1469.0,441.0,198,85,44,20,8,10,-
426, WIELKOPOLSKIE                ,36715.0,18020.0,13521.0,3741.0,911.0,308,132,38,23,9,10,2
468, ZACHODNIOPOMORSKIE           ,15474.0,7596.0,5452.0,1536.0,522.0,194,86,44,18,17,9,-
